dataset,method,tau,layers,selection,best_epoch,label,recall@3,ndcg@3,arhr@3,recall@5,ndcg@5,arhr@5,recall@10,ndcg@10,arhr@10,recall@20,ndcg@20,arhr@20,recall@50,ndcg@50,arhr@50
foursquare-nyc,lightccn_multi,,,test-frame,90,foursquare-nyc__stateful_ef__softplus__global__ho_user,0.015393982436337625,0.082205032374455,,0.020080253475365288,0.07062990668082424,,0.03140556042657479,0.05972024332803442,,0.04540792894604924,0.0556617745888221,,0.06897374399061491,0.0647557473739373,
foursquare-nyc,lightccn_multi,,,test-frame,90,foursquare-nyc__derived_e__softplus__global__ho_item,0.014136656206975405,0.07704144620461961,,0.020114499295062985,0.06909198826579478,,0.030773167136776202,0.05813443571817137,,0.045337908277463715,0.054434492399315734,,0.06862475681798083,0.06326615392099255,
foursquare-nyc,lightccn_multi,,,test-frame,110,foursquare-nyc__stateful_e__softmax__global__ho_item,0.014693961072065477,0.07830520916650964,,0.020946489901387998,0.07073171875880925,,0.031042031843981757,0.05908418491157661,,0.046412524009351565,0.055800236051428094,,0.07356671457613755,0.06657105145953296,
foursquare-nyc,lightccn_multi,,,test-frame,110,foursquare-nyc__stateful_ef__softmax__global__ho_user,0.016184001977953732,0.08456235733437226,,0.02145281896071568,0.07358291131435765,,0.03166889898017776,0.06110030157098007,,0.046971572979910975,0.057642756475102905,,0.07385846418751651,0.06824229071883903,
foursquare-nyc,lightccn_multi,,,test-frame,100,foursquare-nyc__stateful_e__signed__global__ho_item,0.013972435543588065,0.07595816198019036,,0.020042081673839713,0.06852480844471008,,0.03117385731882493,0.05824884297679127,,0.044201982707392014,0.05354066963231901,,0.06886640555787511,0.06303524588765569,
foursquare-nyc,lightccn_multi,,,test-frame,100,foursquare-nyc__stateful_e__softplus__global__ho_user,0.016231405400188352,0.08593465461853751,,0.02075624359062343,0.07330972381252122,,0.03152011982060517,0.061310122613490205,,0.04617272832258755,0.057030613221389775,,0.07085555819337995,0.06651983183950579,
foursquare-nyc,lightccn_multi,,,test-frame,80,foursquare-nyc__stateful_ef__signed__global__ho_both,0.01551637727147812,0.0819316418749482,,0.021057889613043175,0.07234367830506429,,0.031514290585254956,0.05995142640073449,,0.04615584843853665,0.05612542882671517,,0.0713574853217789,0.06578994795483446,
foursquare-nyc,lightccn_multi,,,test-frame,130,foursquare-nyc__stateful_ef__softmax__global__ho_both,0.015939162272925887,0.08377836394327692,,0.021493488195388374,0.07333101973112957,,0.0318716775378683,0.061262154649516315,,0.045945935248106765,0.056633264998141926,,0.07291388115304559,0.06729553598478452,
foursquare-nyc,lightccn_multi,,,test-frame,100,foursquare-nyc__derived_e__softplus__global__ho_both,0.014831224651870723,0.07970833977146873,,0.02086418689734403,0.07080548290254401,,0.030755599270855725,0.0586322867981427,,0.045316647786669106,0.05490083658279088,,0.07013955011941818,0.06451206332805112,
foursquare-nyc,lightccn_multi,,,test-frame,80,foursquare-nyc__stateful_ef__softplus__global__ho_item,0.015034308841543853,0.07857859966601646,,0.019675158890769876,0.06800911933231145,,0.02992019280075869,0.056666969100171584,,0.04405931825376281,0.053152700092383785,,0.06764178558643887,0.06222737833957988,
